what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1327906815703
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1327906815703
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1327906815703
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1327906815703
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1327906815703
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1327906815703
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1327906815703
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1327906815703
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1327906815703
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1327906815703
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1327906815703
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1327906815703
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1327906815703
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1327906815718
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1327906815718
started,bundle,com.altera.sbtgui.core,11.1.0.216,"com.altera.sbtgui.core",1327906815718
started,bundle,com.altera.sbtgui.project,11.1.0.216,"com.altera.sbtgui.project",1327906815718
os,sysinfo,,,"win32",1327906815718
arch,sysinfo,,,"x86",1327906815718
ws,sysinfo,,,"win32",1327906815718
locale,sysinfo,,,"zh_CN",1327906815718
processors,sysinfo,,,"4",1327906815718
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1327906815718
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1327906815718
java.specification.name,sysinfo,,,"Java Platform API Specification",1327906815718
